year,month,amo_value
1958,7,0.171
1959,7,-0.025
1960,7,0.27699999999999997
1961,7,-0.012
1962,7,-0.001
1963,7,-0.028999999999999998
1964,7,-0.13699999999999998
1965,7,-0.182
1966,7,-0.049
1967,7,-0.22399999999999998
1968,7,-0.223
1969,7,0.1
1970,7,-0.19399999999999998
1971,7,-0.34299999999999997
1972,7,-0.368
1973,7,-0.096
1974,7,-0.507
1975,7,-0.264
1976,7,-0.299
1977,7,-0.09699999999999999
1978,7,-0.267
1979,7,-0.085
1980,7,0.06
1981,7,-0.079
1982,7,-0.213
1983,7,0.0
1984,7,-0.25
1985,7,-0.13699999999999998
1986,7,-0.233
1987,7,0.295
1988,7,0.12300000000000001
1989,7,0.18899999999999997
1990,7,-0.01
1991,7,-0.096
1992,7,-0.20800000000000002
1993,7,-0.266
1994,7,-0.221
1995,7,0.324
1996,7,-0.095
1997,7,0.07
1998,7,0.49700000000000005
1999,7,0.20800000000000002
2000,7,0.08199999999999999
2001,7,0.145
2002,7,-0.055
2003,7,0.287
2004,7,0.23800000000000002
2005,7,0.457
2006,7,0.385
2007,7,0.14
2008,7,0.217
2009,7,0.239
2010,7,0.461
2011,7,0.10300000000000001
2012,7,0.387
2013,7,0.20199999999999999
2014,7,0.233
2015,7,0.14400000000000002
2016,7,0.444
1948,8,-0.016
1949,8,0.109
1950,8,0.027000000000000003
1951,8,0.31
1952,8,0.41
1953,8,0.265
1954,8,-0.008
1955,8,0.182
1956,8,-0.091
1957,8,0.209
1958,8,0.168
1959,8,0.019
1960,8,0.342
1961,8,0.043
1962,8,-0.057
1963,8,-0.067
1964,8,-0.228
1965,8,-0.204
1966,8,-0.037000000000000005
1967,8,-0.158
1968,8,-0.207
1969,8,-0.095
1970,8,-0.134
1971,8,-0.429
1972,8,-0.376
1973,8,-0.126
1974,8,-0.46
1975,8,-0.177
1976,8,-0.177
1977,8,-0.136
1978,8,-0.218
1979,8,-0.105
1980,8,0.033
1981,8,-0.1
1982,8,-0.293
1983,8,-0.14300000000000002
1984,8,-0.21
1985,8,-0.266
1986,8,-0.257
1987,8,0.295
1988,8,0.005
1989,8,0.125
1990,8,0.065
1991,8,-0.09699999999999999
1992,8,-0.37
1993,8,-0.218
1994,8,-0.225
1995,8,0.193
1996,8,0.001
1997,8,0.025
1998,8,0.522
1999,8,0.317
2000,8,0.113
2001,8,0.188
2002,8,0.11699999999999999
2003,8,0.426
2004,8,0.327
2005,8,0.451
2006,8,0.41200000000000003
2007,8,0.066
2008,8,0.18600000000000003
2009,8,0.16399999999999998
2010,8,0.537
2011,8,0.158
2012,8,0.44299999999999995
2013,8,0.20600000000000002
2014,8,0.34600000000000003
2015,8,0.19
2016,8,0.46799999999999997
1948,9,-0.046
1949,9,0.076
1950,9,0.016
1951,9,0.256
1952,9,0.368
1953,9,0.287
1954,9,-0.004
1955,9,0.21
1956,9,-0.08199999999999999
1957,9,0.228
1958,9,0.21899999999999997
1959,9,0.132
1960,9,0.218
1961,9,0.009000000000000001
1962,9,0.011000000000000001
1963,9,-0.196
1964,9,-0.213
1965,9,-0.215
1966,9,0.006
1967,9,-0.09
1968,9,-0.14400000000000002
1969,9,-0.10099999999999999
1970,9,-0.131
1971,9,-0.359
1972,9,-0.29600000000000004
1973,9,-0.124
1974,9,-0.498
1975,9,-0.32799999999999996
1976,9,-0.185
1977,9,-0.223
1978,9,-0.18100000000000002
1979,9,-0.1
1980,9,0.002
1981,9,-0.021
1982,9,-0.292
1983,9,-0.2
1984,9,-0.193
1985,9,-0.23199999999999998
1986,9,-0.204
1987,9,0.209
1988,9,-0.08199999999999999
1989,9,-0.08199999999999999
1990,9,0.159
1991,9,-0.026000000000000002
1992,9,-0.359
1993,9,-0.154
1994,9,-0.142
1995,9,0.063
1996,9,0.008
1997,9,0.11900000000000001
1998,9,0.42200000000000004
1999,9,0.195
2000,9,0.11199999999999999
2001,9,0.29600000000000004
2002,9,0.09
2003,9,0.462
2004,9,0.251
2005,9,0.429
2006,9,0.375
2007,9,0.109
2008,9,0.21
2009,9,0.069
2010,9,0.461
2011,9,0.156
2012,9,0.46
2013,9,0.267
2014,9,0.322
2015,9,0.312
2016,9,
1948,10,0.013999999999999999
1949,10,0.11
1950,10,-0.084
1951,10,0.266
1952,10,0.361
1953,10,0.155
1954,10,-0.025
1955,10,0.28600000000000003
1956,10,-0.036000000000000004
1957,10,0.156
1958,10,0.159
1959,10,0.11900000000000001
1960,10,0.303
1961,10,0.036000000000000004
1962,10,0.07200000000000001
1963,10,-0.065
1964,10,-0.265
1965,10,-0.24100000000000002
1966,10,0.02
1967,10,-0.09300000000000001
1968,10,-0.107
1969,10,-0.179
1970,10,-0.19
1971,10,-0.228
1972,10,-0.27899999999999997
1973,10,-0.20800000000000002
1974,10,-0.5
1975,10,-0.34600000000000003
1976,10,-0.285
1977,10,-0.215
1978,10,-0.198
1979,10,-0.078
1980,10,-0.051
1981,10,-0.172
1982,10,-0.35600000000000004
1983,10,-0.18
1984,10,-0.32799999999999996
1985,10,-0.23
1986,10,-0.303
1987,10,0.062
1988,10,-0.158
1989,10,-0.111
1990,10,0.125
1991,10,-0.251
1992,10,-0.289
1993,10,-0.233
1994,10,-0.049
1995,10,0.111
1996,10,-0.135
1997,10,0.16
1998,10,0.392
1999,10,0.027000000000000003
2000,10,-0.03
2001,10,0.262
2002,10,0.122
2003,10,0.43700000000000006
2004,10,0.253
2005,10,0.249
2006,10,0.345
2007,10,0.16899999999999998
2008,10,0.114
2009,10,0.17600000000000002
2010,10,0.335
2011,10,0.07400000000000001
2012,10,0.341
2013,10,0.359
2014,10,0.304
2015,10,0.336
2016,10,
1948,11,0.14
1949,11,0.114
1950,11,0.086
1951,11,0.18100000000000002
1952,11,0.257
1953,11,0.251
1954,11,-0.02
1955,11,0.39299999999999996
1956,11,-0.08
1957,11,0.091
1958,11,0.192
1959,11,0.057999999999999996
1960,11,0.257
1961,11,0.07400000000000001
1962,11,0.053
1963,11,-0.051
1964,11,-0.159
1965,11,-0.27
1966,11,0.009000000000000001
1967,11,-0.228
1968,11,-0.102
1969,11,-0.11800000000000001
1970,11,-0.23399999999999999
1971,11,-0.23600000000000002
1972,11,-0.27
1973,11,-0.20199999999999999
1974,11,-0.418
1975,11,-0.33299999999999996
1976,11,-0.408
1977,11,-0.134
1978,11,-0.11
1979,11,-0.075
1980,11,-0.187
1981,11,-0.122
1982,11,-0.401
1983,11,-0.14300000000000002
1984,11,-0.409
1985,11,-0.27899999999999997
1986,11,-0.382
1987,11,-0.054000000000000006
1988,11,-0.135
1989,11,-0.13699999999999998
1990,11,-0.040999999999999995
1991,11,-0.25
1992,11,-0.324
1993,11,-0.308
1994,11,-0.009000000000000001
1995,11,0.136
1996,11,-0.16399999999999998
1997,11,0.061
1998,11,0.327
